Y	X
  1.0773432e+003  1.9186900e+002
  1.1137434e+003  1.9259100e+002
  1.0735078e+003  1.8951500e+002
  9.2355083e+002  1.6062900e+002
  7.2685727e+002  1.3727900e+002
  7.9809920e+002  1.7628100e+002
  9.4313734e+002  1.8397400e+002
  1.0360001e+003  1.8971700e+002
  1.0887750e+003  1.9128200e+002
  1.0511491e+003  1.8649700e+002
  9.1210720e+002  1.5895200e+002
  7.1576317e+002  1.3606100e+002
  7.4892099e+002  1.6097300e+002
  7.4467005e+002  1.4474800e+002
  8.5005622e+002  1.7564500e+002
  9.6219870e+002  1.7760700e+002
  9.7867016e+002  1.7366000e+002
  8.4998991e+002  1.4928100e+002
  6.6261649e+002  1.2766700e+002
  7.4311372e+002  1.6509800e+002
  8.6476347e+002  1.6979000e+002
  9.2565373e+002  1.7085400e+002
  9.3435620e+002  1.6845300e+002
  8.8271408e+002  1.6469200e+002
  7.8203392e+002  1.4545500e+002
  6.4359105e+002  1.2524500e+002
  7.4955889e+002  1.6476000e+002
  8.8978767e+002  1.7069000e+002
  9.3105108e+002  1.6666800e+002
  8.0682075e+002  1.3504800e+002
  6.0712262e+002  1.1579800e+002
  5.5434843e+002  1.2066200e+002
  5.0642395e+002  1.0992500e+002
  5.8151653e+002  1.2745900e+002
  7.5451452e+002  1.5709700e+002
  8.8920944e+002  1.6357100e+002
  9.5672579e+002  1.6398800e+002
  9.4032898e+002  1.6342600e+002
  7.9815009e+002  1.3858400e+002
  6.2843235e+002  1.1886300e+002
  7.0981571e+002  1.5236100e+002
  8.6200612e+002  1.6639600e+002
  9.4552900e+002  1.6899100e+002
  9.9677280e+002  1.6815500e+002
  9.6021913e+002  1.6715300e+002
  8.3420284e+002  1.4322000e+002
  6.6218377e+002  1.2266700e+002
  7.5793031e+002  1.6183400e+002
  8.7543449e+002  1.6339300e+002
  9.3872568e+002  1.6856300e+002
  9.8812075e+002  1.6752100e+002
  9.6154245e+002  1.6686000e+002
  8.2790359e+002  1.4346800e+002
  6.6084334e+002  1.2187400e+002
  7.4511879e+002  1.5865000e+002
  8.8964451e+002  1.6576200e+002
  6.9980798e+002  1.1496100e+002
  7.2439742e+002  1.4712600e+002
  8.2589548e+002  1.6094400e+002
  8.1914774e+002  1.3929200e+002
  6.7585515e+002  1.1964200e+002
  7.7660500e+002  1.6131400e+002
  9.2655517e+002  1.6816700e+002
  9.6513067e+002  1.6494400e+002
  9.8363063e+002  1.6526700e+002
  9.4667370e+002  1.6570300e+002
  8.2094105e+002  1.3953100e+002
  6.2622031e+002  1.1675300e+002
  7.1445924e+002  1.5214200e+002
  8.4652969e+002  1.6117100e+002
  8.8111208e+002  1.5496900e+002
  9.2246768e+002  1.6085600e+002
  9.0765079e+002  1.6260700e+002
  8.1035490e+002  1.4002100e+002
  6.5481769e+002  1.2103900e+002
  7.6454732e+002  1.5720000e+002
  8.9660292e+002  1.6572000e+002
  9.6755435e+002  1.6540400e+002
  9.9551166e+002  1.6525500e+002
  9.3723862e+002  1.6455000e+002
  8.1005463e+002  1.4073900e+002
  6.4309669e+002  1.1899000e+002
  7.4810814e+002  1.6003800e+002
  8.9869062e+002  1.7006200e+002
  1.0118875e+003  1.7419300e+002
  1.0730042e+003  1.7666000e+002
  1.0246938e+003  1.7398700e+002
  8.7104105e+002  1.4593200e+002
  6.7954919e+002  1.2375700e+002
  7.6619894e+002  1.6062400e+002
  9.0138201e+002  1.6949700e+002
  1.0036255e+003  1.7499200e+002
  1.0782957e+003  1.7879300e+002
  1.0539951e+003  1.7666800e+002
  9.1279150e+002  1.4774300e+002
  7.1035817e+002  1.2656000e+002
  8.3072204e+002  1.6932100e+002
  1.0140830e+003  1.8064400e+002
  1.1190169e+003  1.8333300e+002
  1.1876479e+003  1.8408500e+002
  1.1317037e+003  1.8311500e+002
  9.8923581e+002  1.5705200e+002
  7.8339183e+002  1.3359700e+002
  9.0509604e+002  1.7981800e+002
  1.0627953e+003  1.8191100e+002
  1.1433207e+003  1.8486700e+002
  1.1893681e+003  1.8379300e+002
  1.1333670e+003  1.8003600e+002
  9.5777157e+002  1.5058200e+002
  7.4424028e+002  1.2797100e+002
  8.3819702e+002  1.6355200e+002
  9.7069061e+002  1.6941200e+002
  1.0504735e+003  1.7116100e+002
  1.1088983e+003  1.7445100e+002
  1.0844876e+003  1.7912000e+002
  9.7300088e+002  1.5264300e+002
  7.9064851e+002  1.3229400e+002
  9.0206320e+002  1.7097400e+002
  1.0526365e+003  1.7760900e+002
  1.1104951e+003  1.7906200e+002
  1.1745609e+003  1.8076900e+002
  1.1157117e+003  1.7858800e+002
  9.4241460e+002  1.4665500e+002
  7.0924272e+002  1.2130000e+002
  7.9281841e+002  1.6014500e+002
  9.6687584e+002  1.6780500e+002
  1.0290491e+003  1.6957300e+002
  1.1089092e+003  1.7234700e+002
  1.0754767e+003  1.7355500e+002
  9.3218800e+002  1.4606100e+002
  7.2983821e+002  1.2419600e+002
  8.4339820e+002  1.6824500e+002
  1.0178352e+003  1.7510900e+002
  1.0980890e+003  1.7840200e+002
  1.1610446e+003  1.8074800e+002
  1.1297051e+003  1.7966600e+002
  9.7076683e+002  1.5072000e+002
  7.6279789e+002  1.2786100e+002
  8.9631114e+002  1.7503500e+002
  1.0980874e+003  1.8245400e+002
  1.1728266e+003  1.8439200e+002
  1.1620625e+003  1.7119600e+002
  1.0518512e+003  1.6658200e+002
  8.5973234e+002  1.3598200e+002
  6.7258869e+002  1.1699100e+002
  8.0623469e+002  1.6363800e+002
  1.0113259e+003  1.7130800e+002
  1.0645400e+003  1.6690800e+002
  1.1130296e+003  1.7024900e+002
  1.0721235e+003  1.6913500e+002
  9.3186209e+002  1.4380200e+002
  7.3437225e+002  1.2347400e+002
  8.1844139e+002  1.5524800e+002
  9.5835325e+002  1.6383200e+002
  1.0172313e+003  1.6188600e+002
  1.0321452e+003  1.5998400e+002
  1.0010076e+003  1.5907800e+002
  8.8784127e+002  1.4012100e+002
  7.3712804e+002  1.2216200e+002
  7.9669282e+002  1.5007200e+002
  9.2002449e+002  1.5483000e+002
  9.3458644e+002  1.5289600e+002
  8.0657759e+002  1.2203700e+002
  7.6055352e+002  1.3513400e+002
  7.5407069e+002  1.3152000e+002
  6.9406447e+002  1.1845900e+002
  8.2108230e+002  1.4884400e+002
  9.4897132e+002  1.5534200e+002
  9.7186851e+002  1.5369500e+002
  9.9324761e+002  1.5219700e+002
  9.6330739e+002  1.5332100e+002
  8.6898370e+002  1.3517400e+002
  7.1540278e+002  1.1835400e+002
  8.3606954e+002  1.5452600e+002
  9.9847404e+002  1.6223600e+002
  1.0423431e+003  1.6039800e+002
  1.0600156e+003  1.5915600e+002
  1.0032496e+003  1.5416600e+002
  8.7006530e+002  1.3354500e+002
  7.2287887e+002  1.1856200e+002
  8.5208633e+002  1.5918400e+002
  1.0253475e+003  1.6901500e+002
  1.1240287e+003  1.7126200e+002
  1.1919866e+003  1.7322100e+002
  1.1704181e+003  1.7413100e+002
  1.0094996e+003  1.4750900e+002
  7.9012870e+002  1.2376700e+002
  8.5801821e+002  1.5651500e+002
  1.0126689e+003  1.6748400e+002
  1.0904941e+003  1.6779200e+002
  1.1369451e+003  1.6612900e+002
  1.0950019e+003  1.6485900e+002
  9.1380945e+002  1.3755000e+002
  7.2183225e+002  1.1821900e+002
  8.4067858e+002  1.5820700e+002
  1.0063557e+003  1.6561100e+002
  1.0811228e+003  1.6721500e+002
  1.1277315e+003  1.6757200e+002
  1.0963529e+003  1.6687500e+002
  9.1431930e+002  1.3687500e+002
  7.0095175e+002  1.1549800e+002
